newCar,20:49,I-CV149-03,I-N340a-01,95,dynamicSmart
newCar,20:48,I-CV149-01,I-CV149-03,89,dynamicSmart
newCar,20:56,I-CV1501-02,I-CV149-01,85,dynamicSmart
newCar,20:37,I-CV149-01,I-CV149-03,99,dynamicSmart
newCar,20:17,I-CV149-03,I-CV149-01,92,dynamicSmart
newCar,20:41,I-CV149-03,I-CV149-01,97,dynamicSmart
newCar,20:46,I-CV1501-02,I-CV149-01,97,dynamicSmart
newCar,20:52,I-CV1501-02,I-CV149-01,100,dynamicSmart
newCar,20:15,I-CV149-03,I-N340-01,94,dynamicSmart
newCar,20:02,I-CV149-03,I-CV149-01,99,dynamicSmart
newCar,20:02,I-CV1501-02,I-N340-01,89,dynamicSmart
newCar,20:06,I-CV1520-01,I-N340-04,85,dynamicSmart
newCar,20:45,I-CV1501-02,I-CV149-01,97,dynamicSmart
newCar,20:43,I-CV149-03,I-N340-01,93,dynamicSmart
newCar,20:18,I-CV1501-02,I-CV149-01,91,dynamicSmart
newCar,20:53,I-CV149-03,I-CV149-01,96,dynamicSmart
newCar,20:00,I-N340-04,I-N340-01,90,dynamicSmart
newCar,20:07,I-CV149-03,I-N340a-01,94,dynamicSmart
newCar,20:29,I-CV149-03,I-CV149-01,99,dynamicSmart
newCar,20:45,I-N340-04,I-CV149-01,95,dynamicSmart
newCar,20:57,I-CV149-01,I-CV149-03,96,dynamicSmart
newCar,20:22,I-CV1501-02,I-CV1520-01,89,dynamicSmart
newCar,20:07,I-CV149-03,I-CV149-01,95,dynamicSmart
newCar,20:11,I-CV149-03,I-N340-01,89,dynamicSmart
newCar,20:18,I-CV149-03,I-CV149-01,96,dynamicSmart
newCar,20:04,I-CV1501-02,I-CV149-01,88,dynamicSmart
newCar,20:01,I-N340a-01,I-CV149-03,99,dynamicSmart
newCar,20:10,I-CV149-03,I-CV149-01,86,dynamicSmart
newCar,20:40,I-CV149-03,I-N340-01,97,dynamicSmart
newCar,20:12,I-CV149-03,I-CV149-01,89,dynamicSmart
newCar,20:09,I-CV1501-02,I-CV149-01,89,dynamicSmart
newCar,20:10,I-CV149-03,I-CV149-01,88,dynamicSmart
newCar,20:53,I-CV1501-02,I-CV149-01,90,dynamicSmart
newCar,20:09,I-CV149-03,I-CV149-01,93,dynamicSmart
newCar,20:04,I-CV149-03,I-CV149-01,89,dynamicSmart
newCar,20:48,I-CV149-03,I-CV149-01,93,dynamicSmart
newCar,20:48,I-CV149-03,I-CV149-01,91,dynamicSmart
newCar,20:29,I-CV149-03,I-N340-01,86,dynamicSmart
